start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,duration
237,Upper East Side South,4,Alphabet City,4:00 PM–7:00 PM,28
237,Upper East Side South,4,Alphabet City,7:00 PM–10:00 PM,21
237,Upper East Side South,4,Alphabet City,11:00 AM–4:00 PM,33
238,Upper West Side North,4,Alphabet City,11:00 AM–4:00 PM,35
238,Upper West Side North,4,Alphabet City,4:00 PM–7:00 PM,40
238,Upper West Side North,4,Alphabet City,7:00 PM–10:00 PM,48
239,Upper West Side South,4,Alphabet City,7:00 PM–10:00 PM,39
239,Upper West Side South,4,Alphabet City,11:00 AM–4:00 PM,62
239,Upper West Side South,4,Alphabet City,8:00 AM–11:00 AM,36
239,Upper West Side South,4,Alphabet City,10:00 PM–8:00 AM,50
239,Upper West Side South,4,Alphabet City,4:00 PM–7:00 PM,39
246,West Chelsea/Hudson Yards,4,Alphabet City,7:00 PM–10:00 PM,26
246,West Chelsea/Hudson Yards,4,Alphabet City,11:00 AM–4:00 PM,26
246,West Chelsea/Hudson Yards,4,Alphabet City,4:00 PM–7:00 PM,36
246,West Chelsea/Hudson Yards,4,Alphabet City,8:00 AM–11:00 AM,25
246,West Chelsea/Hudson Yards,4,Alphabet City,10:00 PM–8:00 AM,20
249,West Village,4,Alphabet City,8:00 AM–11:00 AM,15
249,West Village,4,Alphabet City,4:00 PM–7:00 PM,14
249,West Village,4,Alphabet City,7:00 PM–10:00 PM,15
249,West Village,4,Alphabet City,11:00 AM–4:00 PM,16
249,West Village,4,Alphabet City,10:00 PM–8:00 AM,14
255,Williamsburg (North Side),4,Alphabet City,10:00 PM–8:00 AM,25
255,Williamsburg (North Side),4,Alphabet City,8:00 AM–11:00 AM,24
255,Williamsburg (North Side),4,Alphabet City,7:00 PM–10:00 PM,23
255,Williamsburg (North Side),4,Alphabet City,4:00 PM–7:00 PM,23
255,Williamsburg (North Side),4,Alphabet City,11:00 AM–4:00 PM,24
256,Williamsburg (South Side),4,Alphabet City,10:00 PM–8:00 AM,18
256,Williamsburg (South Side),4,Alphabet City,7:00 PM–10:00 PM,18
256,Williamsburg (South Side),4,Alphabet City,8:00 AM–11:00 AM,20
256,Williamsburg (South Side),4,Alphabet City,11:00 AM–4:00 PM,23
256,Williamsburg (South Side),4,Alphabet City,4:00 PM–7:00 PM,19
261,World Trade Center,4,Alphabet City,4:00 PM–7:00 PM,20
261,World Trade Center,4,Alphabet City,11:00 AM–4:00 PM,30
261,World Trade Center,4,Alphabet City,7:00 PM–10:00 PM,21
261,World Trade Center,4,Alphabet City,10:00 PM–8:00 AM,16
262,Yorkville East,4,Alphabet City,7:00 PM–10:00 PM,37
262,Yorkville East,4,Alphabet City,11:00 AM–4:00 PM,30
262,Yorkville East,4,Alphabet City,4:00 PM–7:00 PM,46
263,Yorkville West,4,Alphabet City,10:00 PM–8:00 AM,27
263,Yorkville West,4,Alphabet City,7:00 PM–10:00 PM,33
263,Yorkville West,4,Alphabet City,8:00 AM–11:00 AM,37
263,Yorkville West,4,Alphabet City,4:00 PM–7:00 PM,31
263,Yorkville West,4,Alphabet City,11:00 AM–4:00 PM,42
4,Alphabet City,7,Astoria,8:00 AM–11:00 AM,36
4,Alphabet City,7,Astoria,11:00 AM–4:00 PM,37
7,Astoria,7,Astoria,10:00 PM–8:00 AM,7
7,Astoria,7,Astoria,4:00 PM–7:00 PM,8
7,Astoria,7,Astoria,11:00 AM–4:00 PM,9
7,Astoria,7,Astoria,8:00 AM–11:00 AM,6
7,Astoria,7,Astoria,7:00 PM–10:00 PM,7
8,Astoria Park,7,Astoria,8:00 AM–11:00 AM,17
8,Astoria Park,7,Astoria,10:00 PM–8:00 AM,14
8,Astoria Park,7,Astoria,11:00 AM–4:00 PM,18
8,Astoria Park,7,Astoria,4:00 PM–7:00 PM,18
8,Astoria Park,7,Astoria,7:00 PM–10:00 PM,17
13,Battery Park City,7,Astoria,10:00 PM–8:00 AM,41
17,Bedford,7,Astoria,7:00 PM–10:00 PM,41
17,Bedford,7,Astoria,10:00 PM–8:00 AM,38
17,Bedford,7,Astoria,4:00 PM–7:00 PM,42
17,Bedford,7,Astoria,8:00 AM–11:00 AM,49
17,Bedford,7,Astoria,11:00 AM–4:00 PM,55
24,Bloomingdale,7,Astoria,4:00 PM–7:00 PM,38
25,Boerum Hill,7,Astoria,10:00 PM–8:00 AM,40
33,Brooklyn Heights,7,Astoria,4:00 PM–7:00 PM,49
34,Brooklyn Navy Yard,7,Astoria,4:00 PM–7:00 PM,38
34,Brooklyn Navy Yard,7,Astoria,8:00 AM–11:00 AM,41
34,Brooklyn Navy Yard,7,Astoria,11:00 AM–4:00 PM,47
